equipo_local,equipo_visitante,goles_local,goles_visitante,resultado
Huracan,San Lorenzo,1,0,L
Olimpo,Sarmiento (J),1,0,L
Atl Rafaela,Belgrano,1,1,E
Tigre,Velez,3,0,L
Rosario Central,Newells,0,0,E
Estudiantes (LP),Gimnasia (LP),1,1,E
Colon,Union,0,0,E
River Plate,Boca Juniors,0,1,V
Lanus,Banfield,0,1,V
Aldosivi,Crucero (M),2,0,L
Temperley,Quilmes,0,0,E
Sarmiento (J),Def y Justicia,2,1,L
Aldosivi,Huracan,0,0,E
Godoy Cruz,Rosario Central,1,3,V
Argentinos,Boca Juniors,1,3,V
Independiente,Nueva Chicago,2,1,L
Gimnasia (LP),Tigre,1,1,E
Newells,San Martin (SJ),1,0,L
Velez,Estudiantes (LP),0,1,V
Arsenal,Olimpo,2,1,L
Banfield,Crucero (M),2,1,L
Union,Temperley,2,1,L
River Plate,Lanus,1,1,E
San Lorenzo,Racing Club,2,1,L
Belgrano,Atl Rafaela,0,0,E
Quilmes,Colon,1,0,L
Olimpo,Godoy Cruz,1,0,L
Nueva Chicago,Aldosivi,3,1,L
Atl Rafaela,Union,2,3,V
Tigre,San Lorenzo,1,1,E
Colon,Belgrano,0,1,V
Crucero (M),River Plate,0,1,V
Racing Club,Argentinos,1,0,L
Rosario Central,Gimnasia (LP),4,0,L
Huracan,Velez,0,0,E
Def y Justicia,Quilmes,0,1,V
Boca Juniors,Banfield,3,0,L
San Martin (SJ),Sarmiento (J),0,1,V
Lanus,Independiente,1,1,E
Temperley,Arsenal,1,2,V
Estudiantes (LP),Newells,0,2,V
Belgrano,Def y Justicia,1,0,L
Quilmes,San Martin (SJ),2,0,L
Arsenal,Atl Rafaela,1,1,E
Sarmiento (J),Estudiantes (LP),0,1,V
Argentinos,Tigre,2,1,L
San Lorenzo,Rosario Central,2,2,E
Gimnasia (LP),Olimpo,2,2,E
Velez,Nueva Chicago,1,2,V
Union,Colon,0,0,E
Godoy Cruz,Temperley,3,0,L
Boca Juniors,Crucero (M),1,0,L
Newells,Huracan,2,0,L
Independiente,River Plate,3,0,L
Aldosivi,Lanus,3,1,L
Banfield,Racing Club,0,0,E
Huracan,Sarmiento (J),3,0,L
Crucero (M),Independiente,0,4,V
Nueva Chicago,Newells,5,0,L
Atl Rafaela,Godoy Cruz,1,4,V
Colon,Arsenal,3,1,L
San Martin (SJ),Belgrano,1,1,E
Estudiantes (LP),Quilmes,4,1,L
Lanus,Velez,0,1,V
Olimpo,San Lorenzo,2,1,L
Rosario Central,Argentinos,2,0,L
Tigre,Banfield,3,1,L
River Plate,Aldosivi,1,1,E
Racing Club,Boca Juniors,3,1,L
Def y Justicia,Union,0,0,E
Temperley,Gimnasia (LP),1,3,V
Sarmiento (J),Nueva Chicago,1,2,V
Godoy Cruz,Colon,1,3,V
Belgrano,Estudiantes (LP),2,1,L
Gimnasia (LP),Atl Rafaela,1,0,L
Velez,River Plate,0,1,V
Union,San Martin (SJ),0,0,E
Racing Club,Crucero (M),3,0,L
Newells,Lanus,1,1,E
Quilmes,Huracan,2,1,L
San Lorenzo,Temperley,2,0,L
Boca Juniors,Tigre,1,0,L
Banfield,Rosario Central,2,1,L
Aldosivi,Independiente,1,0,L
Arsenal,Def y Justicia,1,0,L
Argentinos,Olimpo,0,1,V
Lanus,Sarmiento (J),2,1,L
Def y Justicia,Godoy Cruz,1,1,E
Colon,Gimnasia (LP),2,1,L
San Martin (SJ),Arsenal,1,0,L
Estudiantes (LP),Union,2,0,L
Olimpo,Banfield,1,2,V
River Plate,Newells,0,2,V
Tigre,Racing Club,0,0,E
Atl Rafaela,San Lorenzo,0,1,V
Rosario Central,Boca Juniors,3,1,L
Independiente,Velez,1,0,L
Huracan,Belgrano,1,1,E
Temperley,Argentinos,0,0,E
Nueva Chicago,Quilmes,2,1,L
Crucero (M),Aldosivi,0,2,V
Banfield,Gimnasia (LP),2,0,L
Huracan,Atl Rafaela,0,1,V
Rosario Central,Godoy Cruz,1,0,L
Aldosivi,Olimpo,3,0,L
Argentinos,Tigre,1,1,E
Patronato,San Lorenzo,2,2,E
San Martin (SJ),Newells,2,1,L
Temperley,Boca Juniors,0,0,E
Def y Justicia,Union,2,2,E
Independiente,Belgrano,1,0,L
Colon,Arsenal,2,1,L
Atl Tucuman,Racing Club,2,1,L
Estudiantes (LP),Lanus,0,1,V
River Plate,Quilmes,5,1,L
Sarmiento (J),Velez,1,0,L
Union,Temperley,3,0,L
Arsenal,Banfield,3,1,L
Quilmes,Colon,2,4,V
Godoy Cruz,Independiente,1,1,E
Atl Rafaela,Estudiantes (LP),0,1,V
San Lorenzo,Sarmiento (J),2,1,L
Aldosivi,Argentinos,3,2,L
Velez,Olimpo,2,1,L
Racing Club,San Martin (SJ),2,2,E
Lanus,Def y Justicia,2,1,L
Rosario Central,Newells,2,0,L
Gimnasia (LP),Patronato,3,2,L
Boca Juniors,Atl Tucuman,0,1,V
Belgrano,River Plate,3,2,L
Tigre,Huracan,1,2,V
Banfield,Quilmes,1,1,E
Olimpo,San Lorenzo,0,2,V
Argentinos,Velez,0,3,V
Newells,Racing Club,5,0,L
Def y Justicia,Atl Rafaela,4,1,L
Independiente,Rosario Central,0,2,V
Patronato,Arsenal,0,0,E
San Martin (SJ),Boca Juniors,0,1,V
Sarmiento (J),Gimnasia (LP),1,3,V
Estudiantes (LP),Tigre,1,1,E
Colon,Belgrano,3,0,L
Temperley,Lanus,0,1,V
Atl Tucuman,Union,2,0,L
River Plate,Godoy Cruz,1,2,V
Huracan,Aldosivi,2,0,L
San Lorenzo,Velez,3,2,L
Gimnasia (LP),Olimpo,1,0,L
Boca Juniors,Newells,4,1,L
Belgrano,Banfield,0,0,E
Tigre,Def y Justicia,0,2,V
Godoy Cruz,Colon,4,1,L
Independiente,Racing Club,1,1,E
Rosario Central,River Plate,3,3,E
Quilmes,Patronato,2,2,E
Arsenal,Sarmiento (J),2,0,L
Union,San Martin (SJ),1,1,E
Atl Rafaela,Temperley,0,2,V
Aldosivi,Estudiantes (LP),1,2,V
Lanus,Atl Tucuman,1,0,L
Argentinos,Huracan,0,0,E
Newells,Union,1,1,E
Banfield,Godoy Cruz,2,3,V
Estudiantes (LP),Argentinos,4,1,L
Sarmiento (J),Quilmes,2,2,E
Huracan,San Lorenzo,1,1,E
Def y Justicia,Aldosivi,4,0,L
Patronato,Belgrano,2,1,L
Colon,Rosario Central,0,3,V
Atl Tucuman,Atl Rafaela,3,0,L
Olimpo,Arsenal,2,1,L
Racing Club,Boca Juniors,1,0,L
San Martin (SJ),Lanus,2,2,E
Velez,Gimnasia (LP),2,1,L
Temperley,Tigre,2,0,L
River Plate,Independiente,1,0,L
Quilmes,Olimpo,1,1,E
Argentinos,Def y Justicia,1,5,V
Arsenal,Velez,1,0,L
Lanus,Newells,3,0,L
Huracan,Estudiantes (LP),1,0,L
Atl Rafaela,San Martin (SJ),1,2,V
Gimnasia (LP),San Lorenzo,0,0,E
Belgrano,Sarmiento (J),3,0,L
Independiente,Colon,4,1,L
River Plate,Boca Juniors,0,0,E
Rosario Central,Banfield,2,2,E
Aldosivi,Temperley,1,1,E
Union,Racing Club,3,6,V
Tigre,Atl Tucuman,5,0,L
Godoy Cruz,Patronato,3,1,L
Racing Club,Lanus,2,1,L
Newells,Atl Rafaela,1,1,E
Olimpo,Belgrano,2,0,L
Def y Justicia,Huracan,0,2,V
Banfield,Independiente,1,3,V
San Martin (SJ),Tigre,1,0,L
San Lorenzo,Arsenal,0,2,V
Temperley,Argentinos,0,0,E
Patronato,Rosario Central,1,0,L
Estudiantes (LP),Gimnasia (LP),3,0,L
Colon,River Plate,4,1,L
Atl Tucuman,Aldosivi,1,1,E
Sarmiento (J),Godoy Cruz,0,0,E
Boca Juniors,Union,2,1,L
Velez,Quilmes,1,2,V
Arsenal,Gimnasia (LP),0,1,V
Aldosivi,San Martin (SJ),2,2,E
Estudiantes (LP),Def y Justicia,2,1,L
Belgrano,Velez,2,3,V
Colon,Union,0,3,V
Argentinos,Atl Tucuman,0,3,V
Godoy Cruz,Olimpo,1,0,L
Independiente,Patronato,2,1,L
Quilmes,San Lorenzo,3,0,L
River Plate,Banfield,1,1,E
Huracan,Temperley,4,2,L
Lanus,Boca Juniors,2,0,L
Rosario Central,Sarmiento (J),1,0,L
Atl Rafaela,Racing Club,3,6,V
Tigre,Newells,3,3,E
Atl Tucuman,Huracan,2,1,L
Temperley,Estudiantes (LP),1,3,V
Olimpo,Rosario Central,1,1,E
Racing Club,Tigre,3,3,E
Boca Juniors,Atl Rafaela,3,0,L
Banfield,Colon,1,1,E
Patronato,River Plate,2,1,L
Newells,Aldosivi,1,1,E
San Lorenzo,Belgrano,3,2,L
San Martin (SJ),Argentinos,2,0,L
Def y Justicia,Arsenal,0,1,V
Velez,Godoy Cruz,1,4,V
Sarmiento (J),Independiente,0,0,E
Union,Lanus,0,4,V
Gimnasia (LP),Quilmes,1,0,L
Colon,Patronato,2,2,E
Godoy Cruz,San Lorenzo,0,1,V
Huracan,San Martin (SJ),4,3,L
Def y Justicia,Temperley,2,1,L
River Plate,Sarmiento (J),2,2,E
Independiente,Olimpo,0,0,E
Banfield,Lanus,0,2,V
Argentinos,Newells,0,0,E
Aldosivi,Racing Club,2,1,L
Rosario Central,Velez,2,3,V
Belgrano,Gimnasia (LP),3,0,L
Tigre,Boca Juniors,2,0,L
Atl Rafaela,Union,1,1,E
Quilmes,Arsenal,1,4,V
Estudiantes (LP),Atl Tucuman,3,2,L
Sarmiento (J),Colon,1,0,L
Gimnasia (LP),Godoy Cruz,2,2,E
Lanus,Atl Rafaela,2,1,L
Newells,Huracan,1,0,L
Atl Tucuman,Def y Justicia,3,1,L
Boca Juniors,Aldosivi,4,1,L
Union,Tigre,1,0,L
Racing Club,Argentinos,2,2,E
San Lorenzo,Rosario Central,2,1,L
San Martin (SJ),Estudiantes (LP),0,2,V
Velez,Independiente,0,2,V
Temperley,Quilmes,2,0,L
Olimpo,River Plate,0,1,V
Patronato,Banfield,0,2,V
Arsenal,Belgrano,3,3,E
Atl Rafaela,Patronato,3,1,L
Velez,Argentinos,1,0,L
Olimpo,Aldosivi,2,1,L
Union,Colon,1,0,L
Arsenal,Def y Justicia,0,0,E
San Lorenzo,Huracan,1,0,L
Godoy Cruz,San Martin (SJ),1,0,L
Lanus,Banfield,2,0,L
Gimnasia (LP),Estudiantes (LP),0,0,E
Newells,Rosario Central,0,0,E
Boca Juniors,River Plate,0,0,E
Racing Club,Independiente,0,0,E
Belgrano,Atl Tucuman,0,0,E
Tigre,Sarmiento (J),2,0,L
Quilmes,Temperley,2,0,L
Estudiantes (LP),Newells,0,0,E
Aldosivi,Union,1,1,E
Colon,Olimpo,3,1,L
Patronato,Atl Rafaela,2,1,L
Independiente,San Lorenzo,0,1,V
Belgrano,Quilmes,2,2,E
River Plate,Velez,0,0,E
Godoy Cruz,Arsenal,2,0,L
Huracan,Racing Club,0,1,V
Def y Justicia,San Martin (SJ),0,0,E
Argentinos,Boca Juniors,1,0,L
Rosario Central,Gimnasia (LP),0,1,V
Tigre,Lanus,0,1,V
Temperley,Atl Tucuman,1,1,E
Banfield,Sarmiento (J),0,0,E
Union,Argentinos,4,0,L
Quilmes,Godoy Cruz,1,3,V
Newells,Def y Justicia,0,1,V
San Martin (SJ),Temperley,2,0,L
Velez,Colon,2,0,L
San Lorenzo,River Plate,2,1,L
Racing Club,Estudiantes (LP),0,0,E
Arsenal,Rosario Central,1,0,L
Lanus,Aldosivi,2,0,L
Atl Tucuman,Belgrano,2,1,L
Boca Juniors,Huracan,0,0,E
Atl Rafaela,Tigre,0,0,E
Gimnasia (LP),Independiente,3,3,E
Olimpo,Banfield,1,1,E
